Bug ID,Bug title,Severity,Priority,Status,Assignee,Page/Feature,Reproducibility,Environment,Reported at,Reporter,Category,Git branch ID,Date fixed,Screenshot,Notes,Expected result,Actual result,Steps to reproduce
KYPRO-52,Member selection state is lost after closing the 'Tag Members' modal — visual state and internal state become out of sync,High,High,New,Ashok,Audience / Tag Members modal,Always,"Chrome (desktop), http://pro.kyozo.com","April 7, 2026 1:48 PM",Anastasia Starko,Functional,,,Kyozo%20Pro%20QA%20Bug%20Tracker/Screenshot_2026-04-07_at_1.49.41_PM.png,"The misleading visual state (checkbox + counter showing 1 selected) makes this particularly confusing — the user believes their selection is intact but cannot proceed. Related to KYPRO-51 (X button not working), but reproduced via Cancel button.","The 'Tag Members' modal should open with the previously selected member still selected, as the UI indicates they are","After closing the modal, the visual selection state appears intact (member row is highlighted, checkbox is checked, counter says '1 of 20 selected') but the internal state is cleared. The 'Add Tags' button no longer shows a count '(1)'. Clicking 'Add Tags' again triggers a browser alert: 'Please select one or more members to apply tags.' The UI and internal state are out of sync.","1. Navigate to the Audience tab
2. Select a member (e.g. Frank Validuser) — toolbar shows 'Add Tags (1)' and '1 of 20 selected'
3. Click 'Add Tags (1)' to open the Tag Members modal
4. Close the modal using the Cancel button
5. Observe the UI — member still appears checked and '1 of 20 selected' is still shown
6. Click 'Add Tags' again"
KYPRO-50,"'Select All' only selects currently loaded members, not all members in the community",High,High,New,Ashok,Audience / Select All,Always,"Chrome (desktop), http://pro.kyozo.com","April 7, 2026 1:19 PM",Anastasia Starko,Functional,,,"Kyozo%20Pro%20QA%20Bug%20Tracker/image%202.png, Kyozo%20Pro%20QA%20Bug%20Tracker/image%203.png","Critical data integrity risk. An admin could believe they are selecting all members to broadcast or tag, but only a small subset would be affected. Behavior changes depending on session state (what has been previously loaded or searched).","'Select All' should always select all members in the community (3016), regardless of what has been previously loaded or searched","On initial page load, 'Select All' only selected 20 of 3016 members ('20 of 20 selected'). After performing the 'Test' search (which causes the system to load more member data) and clearing it, clicking 'Select All' correctly selected all 3016 members ('3016 of 3016 selected'). The selection count is tied to how many records are currently loaded in the frontend, not the actual total member count.","1. Navigate to the Audience tab (community has 3016 members)
2. Click 'Select All' without performing any search
3. Note the number of selected members
4. Deselect All
5. Type 'Test' in the search bar and wait for all 4 results to fully load (~50 seconds)
6. Clear the search
7. Click 'Select All' again
8. Note the number of selected members"
KYPRO-43,Validation and API error messages use native browser window.alert() instead of in-app UI components,High,High,New,Ashok,"Audience / Invite Member, Audience / Tags",Always,"Chrome (desktop), http://pro.kyozo.com","April 2, 2026 5:58 PM",Anastasia Starko,UX,,,Kyozo%20Pro%20QA%20Bug%20Tracker/Screenshot_2026-04-02_at_5.33.37_PM.png,,"Errors should be shown as inline field validation messages or in-app toast notifications, consistent with the rest of the app UI","Native browser window.alert() dialogs are used, which block the entire page, are visually inconsistent, and cannot be styled or dismissed gracefully","1. Open Invite Member modal and click 'Send Invite' without selecting Email or WhatsApp → native alert fires
2. On the Audience list, click 'Add Tags' without selecting any member → native alert fires"
KYPRO-39,Add Member form – all validation errors hidden below the fold,High,High,New,Ashok,Audience > Add Member,Always,Web – http://pro.kyozo.com (QA Test Community),"April 2, 2026 4:58 PM",Anastasia Starko,UX,,,,"During QA testing this bug caused the Add Member button to appear broken across multiple test cases. High severity because it directly blocks users from creating members without knowing they need to scroll down. Three distinct error messages are affected: phone required, name required, invalid email.","Validation errors should appear immediately adjacent to the relevant field (inline), or at minimum at the top of the form — always visible without scrolling. Required fields should be marked with an asterisk (*) or a ""required"" label.","All validation error messages render below the Profile Banner upload section, which is below the visible dialog area without scrolling. The Add Member button appears completely non-functional to users. Additionally, required fields (Last Name, Phone) have no asterisk or ""required"" indicator, so users cannot know these fields are mandatory before attempting submission.","Scenario A – missing phone:
1. Click Add Member in the Audience header
2. Fill First Name, Last Name, valid Email; leave Phone blank
3. Click Add Member
4. Nothing visible happens → scroll down past Profile Banner
5. Error appears: ""Phone number is required.""

Scenario B – missing last name:
1. Click Add Member; fill First Name, Email, Phone; leave Last Name blank
2. Click Add Member → scroll down
3. Error appears: ""First and last names are required.""

Scenario C – invalid email:
1. Click Add Member; fill First Name, Last Name, Phone; enter ""notavalidemail"" in Email
2. Click Add Member → scroll down
3. Error appears: ""A valid email address is required."""
KYPRO-36,Drag & drop file upload non-functional across all import upload zones (Integrations & Audience),High,High,New,Ashok,Integrations > Import (CSV & Excel) + Audience > Automatically Integrate > Upload CSV/TSV File,Always,http://pro.kyozo.com — Chrome,"April 1, 2026 2:56 PM",Anastasia Starko,Functional,,,Kyozo%20Pro%20QA%20Bug%20Tracker/Screen_Recording_2026-04-01_at_2.53.41_PM_2.mov,"Confirmed systemic — affects all upload drop zones in the app, not isolated to one flow. During QA session April 2026, all file uploads were performed via 'Click to browse' as a workaround because drag & drop consistently failed. Drag & drop in Audience modal reproduced twice consecutively with zero response. Likely a shared drag-event handler registration issue at the component or framework level.","Dragging a file over any upload drop zone should trigger a visible hover/active state. Dropping a valid file should register it, show a filename confirmation, and advance the flow. Both 'Click to browse' and 'drag & drop' are explicitly advertised on every drop zone and both must work.","Drag & drop is non-functional in all file upload drop zones across the app. The drop zone shows no hover highlight when a file is dragged over it, no visual response on drop, no filename confirmation, no loading indicator, and no error message. Users who attempted to upload files during QA testing had to use the 'Click to browse' file picker instead in all cases. This affects both the Integrations > Import wizard (CSV and Excel flows) and the Audience > Automatically Integrate modal.","1. Go to Integrations > Import and select CSV File or Excel/XLS as source
2. Drag a valid file from your computer and drop it onto the dashed upload zone
3. Observe — file is not registered
4. Repeat via Audience > Automatically Integrate > CSV source
5. Drag a valid .csv file onto the drop zone
6. Observe — file is not registered"
KYPRO-33,Manual Entry accepts and imports contacts with name only — email not enforced as required,High,High,New,Ashok,Integrations > Import > Manual Entry,Always,http://pro.kyozo.com — Chrome,"April 1, 2026 1:46 PM",Anastasia Starko,Functional,,,Kyozo%20Pro%20QA%20Bug%20Tracker/image%204.png,This creates unusable contacts in the system with no email address for communication.,Email should be a required field in Manual Entry. The form should display a validation error and prevent submission when email is blank.,Contact is accepted and imported with name only. No validation error or warning is shown about the missing email address.,"1. Go to Integrations > Import > Manual Entry
2. Enter a value in the Name field only
3. Leave Email, Phone, and Tags blank
4. Click Add Member
5. Click Import"
KYPRO-30,"CSV import silently accepts non-comma delimiters, corrupting all data",High,High,New,Ashok,Integrations > Import > CSV,Always,http://pro.kyozo.com — Chrome,"April 1, 2026 1:46 PM",Anastasia Starko,Functional,,,"Kyozo%20Pro%20QA%20Bug%20Tracker/image%205.png, Kyozo%20Pro%20QA%20Bug%20Tracker/bug30_bad_delimiter.csv, Kyozo%20Pro%20QA%20Bug%20Tracker/image%206.png",Tested with semicolon-delimited file.,"Importer should detect non-standard delimiters and either: (a) auto-detect the delimiter and parse correctly, or (b) show a clear error asking the user to re-export with comma delimiters.",Import completes without error. The entire row including delimiters is treated as a single field value. All data is corrupted (e.g. 'John;mailto:john@email.com;555-1234' imported as a single name field).,"1. Go to Integrations > Import
2. Select CSV as source
3. Upload a CSV file that uses a non-comma delimiter (e.g. semicolons: 'name;email;phone')
4. Proceed through the import wizard to completion"
KYPRO-32,"Excel import with no header row consumes first data row as headers, silently losing all data",High,High,New,Ashok,Integrations > Import > Excel,Always,http://pro.kyozo.com — Chrome,"April 1, 2026 1:46 PM",Anastasia Starko,Functional,,,"Kyozo%20Pro%20QA%20Bug%20Tracker/image%207.png, Kyozo%20Pro%20QA%20Bug%20Tracker/bug32_no_header.xlsx, Kyozo%20Pro%20QA%20Bug%20Tracker/image%208.png","Tested with a 5-row data-only sheet — only 4 contacts imported, first row used as field names.","Importer should ask the user whether the first row contains headers or data. If no header row, the user should be able to define column mappings manually. A warning should be shown if the presumed header row looks like data.",The first data row is silently consumed and used as column headers. All remaining rows are imported but the first contact is permanently lost with no warning.,"1. Go to Integrations > Import
2. Select Excel as source
3. Upload an .xlsx file where the first row contains data (not column headers)
4. Complete the import"
KYPRO-29,CSV import silently accepts file with missing required columns (name/email),High,High,New,Ashok,Integrations > Import > CSV,Always,http://pro.kyozo.com — Chrome,"April 1, 2026 1:46 PM",Anastasia Starko,Functional,,,"Kyozo%20Pro%20QA%20Bug%20Tracker/image%209.png, Kyozo%20Pro%20QA%20Bug%20Tracker/bug29_missing_columns.csv, Kyozo%20Pro%20QA%20Bug%20Tracker/image%2010.png",Tested with a CSV containing only a 'phone' column — import completed with 0 usable records.,"Importer should detect missing required columns (name, email) and display a clear validation error before allowing the user to proceed. Import should be blocked until the mapping is corrected.",Import completes without error. No warning or validation is shown about missing required fields. Contacts are created with empty required fields.,"1. Go to Integrations > Import
2. Select CSV as source
3. Upload a CSV file that is missing required columns (e.g. no 'email' or 'name' column)
4. Proceed through the import wizard to completion"
KYPRO-26,Invalid email accepted in Manual Entry import without any validation error,High,High,New,Ashok,Integrations,Always,http://pro.kyozo.com — Chrome,"March 26, 2026 5:49 PM",Anastasia Starko,Functional,,,,Same email validation gap as KYPRO-14 (Audience Add Member). Could result in large batches of invalid emails being imported.,Validation error shown on email field: 'Please enter a valid email address'. Import should not proceed with invalid email.,Invalid email 'not-an-email' is accepted. Member is added to the preview list. 'Import 1' button is enabled with no warning.,"1. Navigate to Integrations tab
2. Select 'Manual Entry'
3. Enter Name: 'QA Test', Email: 'not-an-email' (invalid format)
4. Click 'Add Member'
5. Click 'Preview (1)'"
KYPRO-28,Excel/XLS import fails to parse valid .xlsx file — feature is broken,High,High,New,Ashok,Integrations,Always,http://pro.kyozo.com — Chrome,"March 26, 2026 5:49 PM",Anastasia Starko,Functional,,,,The feature lists .xlsx/.xls as supported formats but cannot parse them. The fallback suggestion to 'export as CSV' confirms the feature is non-functional. Tested with a valid openpyxl-generated .xlsx file.,File parsed correctly; member data displayed in Preview & Edit step,Error toast: 'Could not parse Excel file. Try exporting as CSV.' The Excel import feature fails entirely for standard .xlsx files.,"1. Navigate to Integrations tab
2. Select 'Excel / XLS'
3. Upload a standard .xlsx file (e.g., generated by openpyxl or exported from Microsoft Excel)
4. Observe result"
KYPRO-27,"CSV import silently accepts unrecognized column headers, causing silent data loss",High,High,New,Ashok,Integrations,Always,http://pro.kyozo.com — Chrome,"March 26, 2026 5:49 PM",Anastasia Starko,Functional,,,,Critical data integrity issue. A user migrating data from another system with different column naming would silently lose entire columns of data.,Warning identifying unrecognized columns; column mapping UI allowing user to match source columns to target fields,Import silently proceeds. 'first_name' partially maps to Name (only first token 'John'); 'last_name' is silently dropped ('Doe' lost); 'telephone' maps to Phone with no warning. User has no indication data was lost.,"1. Navigate to Integrations > CSV File
2. Upload a CSV with non-standard headers: first_name, last_name, telephone
3. Proceed to Preview step and observe parsed data"
KYPRO-24,Create Event button stays disabled with partial time input — no user feedback provided,High,High,New,Ashok,Schedule,Always,http://pro.kyozo.com — Chrome,"March 26, 2026 5:49 PM",Anastasia Starko,UX,,,,Blocks event creation entirely. Chrome native time input behavior makes this particularly severe.,Validation error or tooltip explaining what is missing/wrong; Create Event button becomes enabled when all required fields are correctly filled,"Create Event button remains disabled. No error message, tooltip, or any indication of why. The Chrome native time picker is difficult to interact with, leaving users stranded.","1. Navigate to Schedule tab
2. Click 'Create Event'
3. Fill in event name
4. Attempt to type time values in start/end time fields (partially or incorrectly)
5. Observe Create Event button state"
KYPRO-19,'Guestlist Details' link in guestlist modal is non-functional (dead link),High,High,New,Ashok,RSVP & Guestlist,Always,http://pro.kyozo.com — Chrome,"March 26, 2026 5:48 PM",Anastasia Starko,Functional,,,,Blocks access to guestlist management settings.,Navigates to full guestlist detail/management page,Link is dead — clicking does nothing,"1. Navigate to RSVP & Guestlist tab
2. Click an existing guestlist to open detail modal
3. Click 'Guestlist Details' link inside the modal"
KYPRO-14,Invalid email format accepted without validation in Add Member modal (Audience),High,High,New,Ashok,Audience,Always,http://pro.kyozo.com — Chrome,"March 26, 2026 5:48 PM",Anastasia Starko,Functional,,,,Data integrity risk. Same issue also found in Integrations Manual Entry (KYPRO-26).,Validation error: 'Please enter a valid email address',Member is added with email 'notanemail' — no validation error displayed,"1. Navigate to Audience tab
2. Click 'Add Member'
3. Enter Name: 'Test User', Email: 'notanemail', Phone: '+1-555-0101'
4. Click 'Add Member'"
KYPRO-77,WhatsApp invite accepts any text as phone number — no format validation,Medium,Medium,New,Ashok,Invite Member modal,Always,http://pro.kyozo.com,"April 15, 2026 1:57 PM",Anastasia Starko,Functional,,,,,Validation error shown — phone number must be in a valid international format (digits + country code).,"Invite is dispatched without error. The invalid text is embedded in the WhatsApp share URL (phone=notaphone), which will fail silently for the recipient.","1. Open Invite Member modal.
2. Select WhatsApp channel.
3. Enter invalid text (e.g. ""notaphone"") in the Phone Number field.
4. Fill in First Name and Last Name.
5. Click Send Invite."
KYPRO-75,"Invite landing page — ""Join"" button text has poor contrast",Medium,Medium,New,Ashok,Invite join page (/join),Always,http://pro.kyozo.com,"April 15, 2026 1:57 PM",Anastasia Starko,Accessibility,,,,,Button label is clearly legible — sufficient contrast between text and background colour.,"Button text is a dark/muted shade on a dark purple background, making it nearly invisible. Fails WCAG contrast requirements.","1. Open Invite Member modal in Audience page.
2. Send a WhatsApp invite.
3. Open the generated invite link.
4. Observe the ""Join [Community Name]"" button."
KYPRO-69,Signing into a http://kyozo.com community page as an existing user does not enroll the user in the community audience,Medium,Medium,New,Ashok,http://kyozo.com community sign-in / Audience enrollment,Always,Production,"April 9, 2026 6:09 PM",Anastasia Starko,Functional,,,https://www.loom.com/share/4e4197f064214bb79b6178302fd54427,"Confirmed with mailto:ana+hulkuser@kyozo.com signing into http://kyozo.com/qa-test-community-new — user was absent from the QA Test Community New audience. Contrast: ana+kyozouser who signed UP on http://kyozo.com/ashok-kyozo was automatically added to Ashok@Kyozo's audience. Related to KYPRO-68: despite not being in the audience, ana+hulkuser still gained full admin access to http://pro.kyozo.com after being manually imported — the enrollment bug compounds the auth boundary issue.",Authenticating on a community's public page (sign-in or sign-up) should enroll the user as a member of that community. The user should appear in the Audience list in http://pro.kyozo.com immediately after signing in.,"When an existing http://kyozo.com account signs IN (as opposed to signing UP) on a community page, the user is NOT added to that community's audience. The user remains invisible to the community admin and must be manually imported to appear in the Audience list. This behaviour is inconsistent with the sign-up flow, where a new user who signs up on a community page IS automatically added to the audience.","1. Ensure a http://kyozo.com account already exists (e.g. mailto:ana+hulkuser@kyozo.com).
2. Navigate to a http://kyozo.com community page (e.g. http://kyozo.com/qa-test-community-new).
3. Click Sign In (not Sign Up) and log in with the existing account credentials.
4. In http://pro.kyozo.com, open the same community and check the Audience list.
5. Observe that the signed-in user does not appear in the audience."
KYPRO-66,No character length limit on Name or Email fields in Manual Entry — extremely long strings accepted and stored,Medium,Medium,New,Ashok,Audience > Import Members > Manual Entry,Always,http://pro.kyozo.com — Chrome,"April 9, 2026 1:31 PM",Anastasia Starko,Functional,,,Kyozo%20Pro%20QA%20Bug%20Tracker/image%2011.png,"No maxlength attribute is enforced on the Name or Email inputs. This is a systemic gap across the Manual Entry form. Very long strings also cause downstream UI layout failures (see KYPRO-67). Could also present database storage risks depending on column type and size constraints server-side.

[2026-04-14 TC7 update] Same overflow also reproduced in the CSV Import preview table. A 510-char name pushes all other columns (Email, Phone, Tags, Notes) completely off-screen with no truncation or horizontal scroll. Affects Integrations > Import > CSV File preview step.","Fields should enforce a reasonable maximum length (e.g. 100–255 chars for name, 254 chars for email per RFC 5321). Exceeding the limit should show an inline validation error and prevent submission.",Both fields accept and store strings of any length without any limit or error. A 370+ character name and a 500+ character email were successfully imported and persisted to the member record with no warning.,"1. Navigate to Audience > Import Members > Manual Entry
2. In the Name field, type a string of 370+ characters (e.g. 370 x 'A' followed by 'long name test')
3. In the Email field, type an extremely long email (e.g. 250 x 'a' + '@' + 250 x 'a' + '.com')
4. Click + Add
5. Click 'Import 1 Members'"
