Bug Title,Actual Result,Assigned To,Browser/Environment,Bug ID,Category,Date Fixed,Date Found,Expected Result,Git Branch ID,Notes,Page/Feature,Screenshot,Severity,Status,Steps to Reproduce
"Pro plan 'Upgrade' is unstyled text, not a button — inconsistent with other plan CTAs","Basic: 'Current Plan' is a styled button. Pro: 'Upgrade' is plain text (not a button). Enterprise: 'Contact Sales' is a styled button. The Pro plan upgrade CTA looks like a text link, not a button.",,Chrome / macOS,BUG-19,UI,,"March 18, 2026","All three plan cards should have consistently styled CTA buttons (same shape, size, and visual weight)",KYZK4P5Q,"The Pro plan is the one with the 'Popular' badge — its CTA should be the MOST prominent, not the least styled.",Subscription Page,,Low,Done,"1. Log in
2. Navigate to Subscription page
3. Compare the CTA buttons across the three plans"
"Profile Settings: 'Save Changes' appears as plain text, not a styled button","'Save Changes' appears as plain text in the bottom-right, lacking button styling (no background, border, or hover state). Users may not recognize it as clickable.",,Chrome / macOS,BUG-23,UI,,"March 18, 2026","'Save Changes' should be a clearly styled, clickable button (matching the app's button design system)",KYZP3X4Y,"

✅ FIX APPLIED: Branch bugfix-qa-round1. Pending verification.",Account Settings - Profile Tab,,Low,Done,"1. Log in
2. Navigate to Settings
3. On Profile tab, observe the 'Save Changes' element"
Create Community Step 1: No validation error when submitting empty required fields,No validation error shown. Form stays on Step 1 with no feedback. User has no idea why clicking Next does nothing.,,Chrome / macOS,BUG-24,Functional,,"March 18, 2026","Form should show validation errors: red border on Community Name field, error message like 'Community Name is required'",KYZ3F8A1,"

✅ FIX APPLIED: Branch bugfix-qa-round2. Pending verification.",Create Community Modal - Step 1,,Medium,Done,"1. Log in
2. Click '+ Create Community'
3. Leave all fields empty (including required 'Community Name *')
4. Click 'Next'"
CRITICAL: Community Feed shows data from other communities — cross-data contamination,Community Feed shows 'Will Poole - 2h ago' with full post content and engagement data from a DIFFERENT community (Ashok@Kyozo). Data from one community is leaking into another.,,Chrome / macOS,BUG-28,Security,,"March 18, 2026",Community Feed should be empty or show a 'No activity yet' message since this is a brand new community with no posts,KYZ4E7H6,"

✅ FIX APPLIED: Branch bugfix-qa-round2. Pending verification.",Community Overview - Community Feed Sidebar,,Critical,Done,"1. Create a brand new community (e.g., 'QA Test Community')
2. Navigate into the new community Overview page
3. Observe the 'Community Feed' panel on the right"
Tag filter buttons on Communities page do not filter — clicking has no effect,Clicking a tag produces no filtering — all communities remain visible. The tag button shows no visual active/selected state. Tags appear to be completely non-functional.,,Chrome / macOS,BUG-31,Functional,,"March 18, 2026",Clicking a tag should filter communities to show only those with that tag. The clicked tag should appear visually selected/active.,KYZ8H4L7,"FALSE POSITIVE: Tag filtering IS working correctly on local dev server.

Clicking 'code' tag properly filters to show only Ashok@Kyozo (which has the code tag). March 18 and QA Test Community are correctly hidden. The tag button shows a visually selected state.

The original bug report was likely caused by a caching issue during production testing. The EnhancedListView component's filtering logic is correct.

Closed as: Not a bug / False positive.",Communities Page - Tag Filters,,High,Done,"1. Navigate to Communities page
2. Click any tag filter button (e.g., 'code', 'innovate', 'test')
3. Observe the community cards below"
"AI assistant bar does nothing when submitting a command — no response, no loading, no error","Absolutely nothing happens. Text remains in the input field. No loading indicator, no response, no error toast, no visual feedback of any kind. The feature appears completely non-functional.",,Chrome / macOS,BUG-29,Functional,,"March 18, 2026","AI should either: (a) process the command and show a response/confirmation, or (b) show a loading spinner, or (c) show an error if the feature isn't available",KYZ6F3J8,"FIXED: Wired AI assistant bar to /api/ai/generate Gemini endpoint. Shows loading spinner during API call, displays AI response with Bot icon and dismiss button. Supports Enter key submission.",Community Overview - AI Assistant Bar,,High,Done,"1. Navigate to any community Overview
2. Type a command in the AI assistant bar (e.g., 'Send welcome message to all new members')
3. Click the red send arrow button
4. Wait"
New community shows '1 members' — incorrect grammar (should be '1 member' singular),Shows '1 members' (plural) — grammatically incorrect,,Chrome / macOS,BUG-27,Content,,"March 18, 2026",Should show '1 member' (singular) when count is 1,KYZ1D8G3,"

✅ FIX APPLIED: Branch bugfix-qa-round2. Pending verification.",Communities Page - Community Cards,,Low,Done,"1. Create a new community
2. Return to Communities list
3. Observe the member count on the new community card"
Create Community Step 2: Overlapping placeholder text in first input field (garbled rendering),"Two different placeholder texts ('Community Leader Name' and 'templates') are rendered on top of each other, creating garbled/unreadable text. Looks like two overlapping input fields or misaligned placeholders.",,Chrome / macOS,BUG-26,UI,,"March 18, 2026",Field should show a single clear placeholder like 'Community Leader Name' or 'Choose a template',KYZ9C5E2,Likely a CSS z-index or positioning issue. Two elements are stacked. Check the component rendering — may be a dropdown and text input fighting for the same space.,Create Community Modal - Step 2,,High,Done,"1. Click '+ Create Community'
2. Fill Community Name and click Next
3. On Step 2, observe the first input field at the top"
No success notification/toast after creating a new community,"The modal closes and the new community card appears in the list, but there is zero feedback confirming the creation was successful. User has to visually scan the list to verify.",,Chrome / macOS,BUG-32,UX,,"March 18, 2026","A success toast/notification should appear (e.g., 'Community created successfully!') confirming the action",KYZ5J1M9,Add a success toast notification after community creation. Consider briefly highlighting the new card with an animation.,Create Community Flow,,Low,Done,"1. Click '+ Create Community'
2. Fill in Community Name
3. Complete Step 2 and click 'Finish'"
"Community Settings cards (General, Notifications, Privacy, Appearance) are not clickable — non-functional","None of the settings cards are clickable. Clicking them produces no navigation, no expansion, no response. They look interactive (with icons, labels, descriptions) but are non-functional.",,Chrome / macOS,BUG-30,Functional,,"March 18, 2026",Clicking a card should navigate to or expand the relevant settings section,KYZ2G9K5,✅ VERIFIED on local dev: Settings cards now show 'Coming Soon' badge at bottom center of each card. Cards have onClick toast notification. Layout is clean with icon → title → description → badge flow.,Community Settings Page,,Medium,Done,"1. Navigate to any community
2. Click 'Settings' in the sidebar
3. Click any of the four settings cards (General, Notifications, Privacy, Appearance)"
Create Community Step 1: URL preview says 'http://kyozo.com' but actual site is 'http://pro.kyozo.com',Helper text shows 'This becomes the URL: http://kyozo.com/your-handle' — incorrect domain.,,Chrome / macOS,BUG-25,Content,,"March 18, 2026",Helper text should show the correct domain: 'This becomes the URL: http://pro.kyozo.com/your-handle',KYZ7B2D4,"

✅ FIX APPLIED: Branch bugfix-qa-round2. Pending verification.",Create Community Modal - Step 1,,Low,Done,"1. Click '+ Create Community'
2. Look at the helper text under 'Custom Handle (URL slug)' field"
'Lore' and 'Mantras' field labels in Edit Community are confusing and misleading,"'Lore' and 'Mantras' are non-standard, confusing labels. 'Mantras' is used for the visible tagline, 'Lore' appears to be unused/hidden. Users won't intuit what these fields are for.",,Chrome / macOS,BUG-36,UX,,"March 18, 2026",Field labels should clearly indicate what they represent. Use standard terms like 'Description' and 'Tagline' or 'Mission Statement',KYZ9V3Y8,"

✅ FIX APPLIED: Branch bugfix-qa-round3. Pending verification.",Edit Community Modal - Step 1,,Medium,Done,"1. Navigate to a community and click 'Edit'
2. Observe the field labels: 'Lore' and 'Mantras'
3. Note that 'Mantras' content ('Build something people want and want to pay for') is displayed as the community tagline on the header
4. 'Lore' content ('No bug left behind') is not visibly displayed anywhere on the community page"
Floating orange '+' button on More Features page does nothing when clicked,Nothing happens. The button is non-functional.,,Chrome / macOS,BUG-40,UI,,"March 18, 2026",Should open a menu/modal to add/request a new feature or perform some action,KYZH8C7G,Either implement the action or remove the FAB. An unexplained floating button with no tooltip or function creates confusion.,Community - More Features Page,,Low,Done,"1. Navigate to any community > More Features
2. Click the orange circular '+' button in the bottom-right corner"
Kyozo logo in far-left sidebar is not clickable — no home navigation,Logo is not clickable — no navigation occurs. Users must use the small grid/communities icon below it instead.,,Chrome / macOS,BUG-41,UX,,"March 18, 2026",Clicking the logo should navigate to the home/communities page (standard web convention),KYZJ1D9H,"

✅ FIX APPLIED: Branch bugfix-qa-round3. Pending verification.",Global Navigation - Far-Left Icon Sidebar,,Low,Done,"1. Navigate to any community sub-page
2. Click the Kyozo logo/icon at the very top of the far-left sidebar"
'Show More (2+)' tag button toggles text but doesn't show additional tags,Button text toggles between 'Show More (2+)' and 'Show Less' but the tag list remains identical — same 7 tags visible in both states. The additional 2+ tags never appear.,,Chrome / macOS,BUG-37,Functional,,"March 18, 2026",Clicking 'Show More' should reveal the 2+ additional hidden tags that aren't currently displayed,KYZB2Z1A,"Either the extra tags aren't being rendered in the expanded state, or the count '2+' is incorrect and there are no additional tags.",Communities Page - Tag Filter Bar,,Medium,Not started,"1. Navigate to Communities page
2. Observe 7 visible tags + 'Show More (2+)' button
3. Click 'Show More (2+)'
4. Button changes to 'Show Less' but same 7 tags are visible"
Invite Members and Broadcast Message header buttons are non-functional — no response on click,"Both buttons produce zero response — no modal, no navigation, no loading, no error. They are completely non-functional.",,Chrome / macOS,BUG-33,Functional,,"March 18, 2026",Invite Members should open a modal/form to invite people via email/link. Broadcast Message should open a message composer.,KYZ3R7V2,These are core community management actions. Having them visible but non-functional is worse than hiding them. Either implement the functionality or hide the buttons.,Community Overview - Header Action Buttons,,High,Not started,"1. Navigate to any community (e.g., Ashok@Kyozo)
2. Click 'Invite Members' button in the header
3. Nothing happens
4. Click 'Broadcast Message' button
5. Nothing happens"
Feed posts have no like/comment/share buttons from admin view,"No engagement buttons visible on feed posts. Only edit/delete icons appear on posts. The Overview sidebar shows engagement data (24 likes, 8 comments) but the actual feed posts have no interaction controls.",,Chrome / macOS,BUG-39,UX,,"March 18, 2026","Each post should have like, comment, and share interaction buttons visible, even for the admin/owner",KYZF6B5E,"

✅ FIX APPLIED: Branch bugfix-qa-round1. Pending verification.",Community Feed - Post Cards,,Medium,Done,"1. Navigate to any community > Feed
2. Observe the feed post cards (video post, article post)
3. Look for engagement buttons (like, comment, share)"
Left Brain Metrics: 'Active Today' (8) exceeds 'Total Members' (6) — impossible data,"TOTAL MEMBERS: 6, ACTIVE TODAY: 8. It's logically impossible to have more active users than total members. Also conflicts with community card showing '15 members'.",,Chrome / macOS,BUG-35,Functional,,"March 18, 2026",Active Today should always be less than or equal to Total Members,KYZ7U1X6,"

✅ FIX APPLIED: Branch bugfix-qa-round3. Pending verification.",Community Overview - Left Brain Metrics,,High,Done,"1. Navigate to Ashok@Kyozo community
2. Expand 'Left Brain Metrics' section
3. Compare TOTAL MEMBERS (6) with ACTIVE TODAY (8)"
Tags and action buttons overlap in community header — 'Add Members' button hidden behind tags,"The tags (speed, gotomarket) overlap with the action buttons area. The 'Add Members' button appears to be completely hidden behind the tags. The 'Text' content type button on Feed page is also hidden.",,Chrome / macOS,BUG-34,UI,,"March 18, 2026",Tags and action buttons should be on separate rows or properly spaced so they don't overlap,KYZ5T9W4,"

✅ FIX APPLIED: Branch bugfix-qa-round3. Pending verification.",Community Overview - Header Layout,,Medium,Done,"1. Navigate to a community with 4+ tags (e.g., Ashok@Kyozo with code, innovate, speed, gotomarket)
2. Observe the header area where tags and action buttons are displayed"
'Read Full Article' link on feed posts does nothing when clicked,"Nothing happens. The link/button is completely non-functional. No navigation, no expansion, no error.",,Chrome / macOS,BUG-38,Functional,,"March 18, 2026",Should navigate to a full article view page or expand the article content inline,KYZD4A3C,"

✅ FIX APPLIED: Branch bugfix-qa-round3. Pending verification.",Community Feed - Article Posts,,Medium,Done,"1. Navigate to any community > Feed
2. Scroll to an article post (e.g., 'Who are we?')
3. Click 'READ FULL ARTICLE →'"
Signup API errors logged as '[Object]' in console — error details lost for debugging,"Console shows '🔐 [SIGNUP] ERROR: API returned error: Object' — the error object is not serialized/stringified, so actual error details are lost. Developers cannot debug from these logs.",,Chrome / macOS,BUG-42,Functional,,"March 18, 2026","Console should log the full error object with message, status code, and stack trace for debugging",KYZL3F2K,"

✅ FIX APPLIED: Branch bugfix-qa-round2. Pending verification.",Sign Up - Error Logging,,Medium,Done,"1. Attempt to sign up (trigger the Resend domain error)
2. Open browser console
3. Observe error logs"
"Create Event form shows wrong date — off by one day (clicked 18, shows 17)",Both Start and End show 17/03/2026 (one day before the clicked date). Off-by-one date calculation error.,,Chrome / macOS,BUG-44,Functional,,"March 18, 2026",Start and End date should show 18/03/2026 (the date that was clicked),KYZP7H6N,"

✅ FIX APPLIED: Branch bugfix-qa-round4. Pending verification.",Community - Schedule / Create Event Modal,,High,Done,"1. Navigate to Schedule page
2. Click on date cell '18' (March 18, 2026 — today)
3. Observe the Start and End date fields in the Create Event modal"
Add Member modal: Profile Banner preset options appear as blank white squares,Three blank/white squares are displayed with no visible content. Users can't tell what the presets look like or differentiate between them.,,Chrome / macOS,BUG-47,UI,,"March 18, 2026","Preset banner options should show visible preview thumbnails (colors, patterns, or sample images)",KYZS4L3R,FIXED: Added grey background (#f0f0f0) and object-left CSS to show the colorful portion of banner images in the small thumbnails. The images fade to white on the right side which made them appear blank.,Community - Audience / Add Member Modal,,Low,Done,"1. Navigate to Audience > Add Member
2. Observe the 'Profile Banner' section with 3 preset options"
Create Event header button is non-functional — only clicking a calendar date opens the form,Header button does nothing. Only clicking a calendar date cell opens the event creation form. Users may think event creation is broken.,,Chrome / macOS,BUG-43,Functional,,"March 18, 2026",The '+ Create Event' header button should open the Create Event modal (same as clicking a date cell),KYZN5G4M,"

✅ FIX APPLIED: Branch bugfix-qa-round4. Pending verification.",Community - Schedule Page,,Medium,Done,"1. Navigate to any community > Schedule
2. Click the '+ Create Event' button in the header
3. Nothing happens
4. Instead, click on a specific date cell in the calendar
5. The Create Event modal opens"
