Bug ID,Actual result,Assignee,Bug title,Category,Date fixed,Environment,Expected result,Git branch ID,Notes,Page/Feature,Priority,Reported at,Reporter,Reproducibility,Screenshot,Severity,Status,Steps to reproduce
KYPRO-8,"Both ""Next"" and ""Finish"" buttons display with a very light beige/cream background and muted low-contrast text, visually identical to a disabled button state.",Ashok,"Create Community – ""Next"" and ""Finish"" primary action buttons appear visually disabled when active",UX,,"Chrome (latest), Ubuntu 22, Desktop 1502x818","Active primary action buttons display with prominent styling (dark background, white text) matching app conventions, clearly signalling they are interactive.",,"Compare to the ""+ Create Community"" button on the main page (dark brown, white text). Primary action button appears to be missing its active/enabled CSS class. Consistent issue across both dialog steps.",Create Community Dialog / Steps 1 & 2,Medium,"March 25, 2026 6:50 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/image%2026.png,Medium,New,"1. Navigate to https://pro.kyozo.com/communities
2. Click ""+ Create Community""
3. Observe the ""Next"" button styling (Step 1) and ""Finish"" button (Step 2)"
KYPRO-19,Link is dead — clicking does nothing,Ashok,'Guestlist Details' link in guestlist modal is non-functional (dead link),Functional,,http://pro.kyozo.com — Chrome,Navigates to full guestlist detail/management page,,Blocks access to guestlist management settings.,RSVP & Guestlist,High,"March 26, 2026 5:48 PM",Anastasia Starko,Always,,High,New,"1. Navigate to RSVP & Guestlist tab
2. Click an existing guestlist to open detail modal
3. Click 'Guestlist Details' link inside the modal"
KYPRO-16,No Edit button present anywhere on the member profile page,Ashok,No Edit button on member profile page — member data cannot be updated,Functional,,http://pro.kyozo.com — Chrome,An 'Edit' button is available to modify member details,,"Admins have no way to correct member info (e.g., fix typos in email) after creation.",Audience,Medium,"March 26, 2026 5:48 PM",Anastasia Starko,Always,,Medium,New,"1. Navigate to Audience tab
2. Click on any member row to open their profile page"
KYPRO-18,No validation error shown; form silently does nothing,Ashok,Empty Guestlist Name silently accepted — no validation error shown,Functional,,http://pro.kyozo.com — Chrome,Validation error: 'Guestlist name is required',,Same pattern in Schedule tab (KYPRO-22).,RSVP & Guestlist,Medium,"March 26, 2026 5:48 PM",Anastasia Starko,Always,,Medium,New,"1. Navigate to RSVP & Guestlist tab
2. Click 'Create Guestlist'
3. Leave Name field empty
4. Click 'Create Guestlist'"
KYPRO-20,No invitation-sending functionality exists anywhere in this tab,Ashok,No 'Send Invitations' functionality — RSVP invites cannot be sent to guests,Functional,,http://pro.kyozo.com — Chrome,A 'Send Invitations' or 'Notify Guests' button to dispatch RSVP invites,,Core RSVP workflow is incomplete without invite sending.,RSVP & Guestlist,High,"March 26, 2026 5:48 PM",Anastasia Starko,Always,,High,New,"1. Navigate to RSVP & Guestlist tab
2. Open a guestlist with guests
3. Search for invitation-sending capability"
KYPRO-14,Member is added with email 'notanemail' — no validation error displayed,Ashok,Invalid email format accepted without validation in Add Member modal (Audience),Functional,,http://pro.kyozo.com — Chrome,Validation error: 'Please enter a valid email address',,Data integrity risk. Same issue also found in Integrations Manual Entry (KYPRO-26).,Audience,High,"March 26, 2026 5:48 PM",Anastasia Starko,Always,,High,New,"1. Navigate to Audience tab
2. Click 'Add Member'
3. Enter Name: 'Test User', Email: 'notanemail', Phone: '+1-555-0101'
4. Click 'Add Member'"
KYPRO-15,'Acquired Via: Sign Up' displayed — factually incorrect for admin-imported members,Ashok,'Acquired Via: Sign Up' incorrectly shown for manually admin-added members,Content,,http://pro.kyozo.com — Chrome,'Acquired Via' shows 'Manual' or 'Admin Added',,Misleading attribution. Affects analytics accuracy.,Audience,Low,"March 26, 2026 5:48 PM",Anastasia Starko,Always,,Low,New,"1. Add a member manually via Audience > Add Member
2. Click the member to open their profile"
KYPRO-17,Audience tab shows empty list (0 members) while community card shows '1 member'. Owner is absent from the list.,Ashok,Community owner not visible in Audience tab member list — count mismatch,Functional,,http://pro.kyozo.com — Chrome,Owner appears in the member list; card count matches list count,,Count mismatch between community card and Audience tab.,Audience,Medium,"March 26, 2026 5:48 PM",Anastasia Starko,Always,,Medium,New,1. Navigate to Audience tab (community with owner only)
KYPRO-13,"Validation error appears below the fold — user must scroll inside the modal to see it, making it effectively hidden",Ashok,Validation error hidden below fold in Add Member modal,UX,,http://pro.kyozo.com — Chrome,'Phone number is required.' validation error is visible within the modal viewport without scrolling,,Found during QA session 2026-03-26,Audience,Medium,"March 26, 2026 5:48 PM",Anastasia Starko,Always,,Medium,New,"1. Navigate to Audience tab
2. Click 'Add Member'
3. Enter a name and valid email, leave Phone empty
4. Click 'Add Member' button"
KYPRO-26,Invalid email 'not-an-email' is accepted. Member is added to the preview list. 'Import 1' button is enabled with no warning.,Ashok,Invalid email accepted in Manual Entry import without any validation error,Functional,,http://pro.kyozo.com — Chrome,Validation error shown on email field: 'Please enter a valid email address'. Import should not proceed with invalid email.,,Same email validation gap as KYPRO-14 (Audience Add Member). Could result in large batches of invalid emails being imported.,Integrations,High,"March 26, 2026 5:49 PM",Anastasia Starko,Always,,High,New,"1. Navigate to Integrations tab
2. Select 'Manual Entry'
3. Enter Name: 'QA Test', Email: 'not-an-email' (invalid format)
4. Click 'Add Member'
5. Click 'Preview (1)'"
KYPRO-21,"No RSVP status field exists for any guest. There is no way to track who has confirmed, declined, or not responded.",Ashok,No RSVP status tracking per guest (Yes/No/Maybe),Functional,,http://pro.kyozo.com — Chrome,Each guest has an RSVP status indicator (Yes/No/Maybe/Pending) that updates based on their response,,"Core RSVP functionality is missing. Without status tracking, the RSVP feature has limited value.",RSVP & Guestlist,Medium,"March 26, 2026 5:49 PM",Anastasia Starko,Always,,Medium,New,"1. Navigate to RSVP & Guestlist tab
2. Open a guestlist with guests added
3. Look for individual RSVP status per guest"
KYPRO-28,Error toast: 'Could not parse Excel file. Try exporting as CSV.' The Excel import feature fails entirely for standard .xlsx files.,Ashok,Excel/XLS import fails to parse valid .xlsx file — feature is broken,Functional,,http://pro.kyozo.com — Chrome,File parsed correctly; member data displayed in Preview & Edit step,,The feature lists .xlsx/.xls as supported formats but cannot parse them. The fallback suggestion to 'export as CSV' confirms the feature is non-functional. Tested with a valid openpyxl-generated .xlsx file.,Integrations,High,"March 26, 2026 5:49 PM",Anastasia Starko,Always,,High,New,"1. Navigate to Integrations tab
2. Select 'Excel / XLS'
3. Upload a standard .xlsx file (e.g., generated by openpyxl or exported from Microsoft Excel)
4. Observe result"
KYPRO-25,RSVP tab calls objects 'Guestlists' with 'Guests'; Schedule tab calls the same objects 'Events' with 'Attendees'. Action buttons differ too: 'Edit Guestlist'/'Delete Guestlist' vs 'Edit Event'/'Delete Event'.,Ashok,Terminology inconsistency: Guestlist/Guests in RSVP vs Event/Attendees in Schedule for same objects,UX,,http://pro.kyozo.com — Chrome,Consistent terminology across all tabs for the same concept,,Confusing to users who see the same data presented with different labels depending on which tab they are in.,RSVP & Guestlist,Low,"March 26, 2026 5:49 PM",Anastasia Starko,Always,,Low,New,"1. Create a guestlist in RSVP & Guestlist tab
2. Navigate to Schedule tab and observe the same object"
KYPRO-27,Import silently proceeds. 'first_name' partially maps to Name (only first token 'John'); 'last_name' is silently dropped ('Doe' lost); 'telephone' maps to Phone with no warning. User has no indication data was lost.,Ashok,"CSV import silently accepts unrecognized column headers, causing silent data loss",Functional,,http://pro.kyozo.com — Chrome,Warning identifying unrecognized columns; column mapping UI allowing user to match source columns to target fields,,Critical data integrity issue. A user migrating data from another system with different column naming would silently lose entire columns of data.,Integrations,High,"March 26, 2026 5:49 PM",Anastasia Starko,Always,,High,New,"1. Navigate to Integrations > CSV File
2. Upload a CSV with non-standard headers: first_name, last_name, telephone
3. Proceed to Preview step and observe parsed data"
KYPRO-24,"Create Event button remains disabled. No error message, tooltip, or any indication of why. The Chrome native time picker is difficult to interact with, leaving users stranded.",Ashok,Create Event button stays disabled with partial time input — no user feedback provided,UX,,http://pro.kyozo.com — Chrome,Validation error or tooltip explaining what is missing/wrong; Create Event button becomes enabled when all required fields are correctly filled,,Blocks event creation entirely. Chrome native time input behavior makes this particularly severe.,Schedule,High,"March 26, 2026 5:49 PM",Anastasia Starko,Always,,High,New,"1. Navigate to Schedule tab
2. Click 'Create Event'
3. Fill in event name
4. Attempt to type time values in start/end time fields (partially or incorrectly)
5. Observe Create Event button state"
KYPRO-23,Start/end time fields have no asterisk but are functionally required — the Create Event button stays disabled unless they are filled,Ashok,Start/End time fields are functionally required but not marked with asterisk,UX,,http://pro.kyozo.com — Chrome,Start and end time fields are marked with asterisk (*) if they prevent form submission when empty,,Misleading UX. Related to KYPRO-24 (button disabled with no feedback).,Schedule,Low,"March 26, 2026 5:49 PM",Anastasia Starko,Always,,Low,New,"1. Navigate to Schedule tab
2. Click 'Create Event'
3. Observe which fields have required asterisks (*)
4. Leave start/end time empty and note 'Create Event' button is disabled"
KYPRO-22,No validation error shown. Form does nothing silently.,Ashok,Empty Event Name silently accepted — no validation error shown in Schedule,Functional,,http://pro.kyozo.com — Chrome,Validation error: 'Event name is required',,Same pattern as KYPRO-18 (Guestlist) and KYPRO-13 (Add Member). Consistent validation gap across create flows.,Schedule,Medium,"March 26, 2026 5:49 PM",Anastasia Starko,Always,,Medium,New,"1. Navigate to Schedule tab
2. Click 'Create Event'
3. Leave the Event Name field empty
4. Click 'Create Event' button"
KYPRO-34,"Clicking Add Member with all fields empty does NOT simply do nothing — it silently creates a blank '–' record in the member queue. Each click on Add Member adds another null entry. These blank records are then included in the Preview count and can be imported, creating completely empty contacts in the system with no name, email, phone, or tags.

[NEW - confirmed 2026-04-08] The same missing validation applies to the inline edit flow in the preview table: clicking ✏️ on any row, clearing all fields, and pressing 💾 also silently saves the empty row with no error. When that empty row is then imported, it creates a ghost 'Unknown User' member in the Audience. Navigating to that member's profile results in a permanently broken page — a loading skeleton that never resolves (URL: /members/imported-XXXXXX-0). The page never loads and the member is inaccessible.",Ashok,Empty Manual Entry form submission silently creates blank null records with no validation feedback,UX,,http://pro.kyozo.com — Chrome,Clicking Add Member with all fields empty should display a clear validation message indicating that at least Name (or Name + Email) must be filled. The form should reject the submission and not create any record. The member queue should remain unchanged.,,"Originally assessed as Low severity (no data corrupted, just silent UI failure). Updated after live reproduction: the bug is worse than initially documented — each empty click creates a null '–' record visible in the queue and counted in Preview (N). These null records can propagate into the import. Severity raised to Medium.

[2026-04-08] Further confirmed via inline edit path (see Path B in steps). This path produces an even more severe consequence: a ghost 'Unknown User' is created in the audience and their profile page permanently fails to load (infinite loading skeleton at /members/imported-XXXXXX-0). Severity should be considered for upgrade to High.",Integrations > Import > Manual Entry,Medium,"April 1, 2026 1:46 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/image%2013.png,High,New,"Path A – Add Member form:
1. Go to Integrations > Import > Manual Entry
2. Leave all fields blank (Name, Email, Phone, Tags)
3. Click Add Member
4. Click Import

Path B – Inline edit (confirmed 2026-04-08):
1. Go to Audience > Import Members > Manual Entry
2. Add any valid contact and click + Add
3. Click ✏️ on the row to enter edit mode
4. Clear Name, Email, Phone, and Tags fields
5. Click 💾 to save
6. Click 'Import N Members'
7. Observe the resulting member profile"
KYPRO-33,Contact is accepted and imported with name only. No validation error or warning is shown about the missing email address.,Ashok,Manual Entry accepts and imports contacts with name only — email not enforced as required,Functional,,http://pro.kyozo.com — Chrome,Email should be a required field in Manual Entry. The form should display a validation error and prevent submission when email is blank.,,This creates unusable contacts in the system with no email address for communication.,Integrations > Import > Manual Entry,High,"April 1, 2026 1:46 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/image%2014.png,High,New,"1. Go to Integrations > Import > Manual Entry
2. Enter a value in the Name field only
3. Leave Email, Phone, and Tags blank
4. Click Add Member
5. Click Import"
KYPRO-31,All rows including exact duplicates are imported without any warning. Duplicate contacts are created in the member list.,Ashok,CSV import does not detect or warn about duplicate rows,Functional,,http://pro.kyozo.com — Chrome,"Importer should detect duplicate rows (same email address) and either skip them automatically or prompt the user to choose how to handle duplicates (skip, merge, or import anyway).",,5 duplicate rows in a 10-row test file — all 10 were imported creating 5 duplicate contacts.,Integrations > Import > CSV,Medium,"April 1, 2026 1:46 PM",Anastasia Starko,Always,"Kyozo%20Pro%20QA%20Bug%20Tracker/image%2017.png, Kyozo%20Pro%20QA%20Bug%20Tracker/bug31_duplicates.csv, Kyozo%20Pro%20QA%20Bug%20Tracker/image%2018.png",Medium,New,"1. Go to Integrations > Import
2. Select CSV as source
3. Upload a CSV file containing duplicate rows (identical name and email)
4. Complete the import"
KYPRO-30,Import completes without error. The entire row including delimiters is treated as a single field value. All data is corrupted (e.g. 'John;mailto:john@email.com;555-1234' imported as a single name field).,Ashok,"CSV import silently accepts non-comma delimiters, corrupting all data",Functional,,http://pro.kyozo.com — Chrome,"Importer should detect non-standard delimiters and either: (a) auto-detect the delimiter and parse correctly, or (b) show a clear error asking the user to re-export with comma delimiters.",,Tested with semicolon-delimited file.,Integrations > Import > CSV,High,"April 1, 2026 1:46 PM",Anastasia Starko,Always,"Kyozo%20Pro%20QA%20Bug%20Tracker/image%2019.png, Kyozo%20Pro%20QA%20Bug%20Tracker/bug30_bad_delimiter.csv, Kyozo%20Pro%20QA%20Bug%20Tracker/image%2020.png",High,New,"1. Go to Integrations > Import
2. Select CSV as source
3. Upload a CSV file that uses a non-comma delimiter (e.g. semicolons: 'name;email;phone')
4. Proceed through the import wizard to completion"
KYPRO-32,The first data row is silently consumed and used as column headers. All remaining rows are imported but the first contact is permanently lost with no warning.,Ashok,"Excel import with no header row consumes first data row as headers, silently losing all data",Functional,,http://pro.kyozo.com — Chrome,"Importer should ask the user whether the first row contains headers or data. If no header row, the user should be able to define column mappings manually. A warning should be shown if the presumed header row looks like data.",,"Tested with a 5-row data-only sheet — only 4 contacts imported, first row used as field names.",Integrations > Import > Excel,High,"April 1, 2026 1:46 PM",Anastasia Starko,Always,"Kyozo%20Pro%20QA%20Bug%20Tracker/image%2015.png, Kyozo%20Pro%20QA%20Bug%20Tracker/bug32_no_header.xlsx, Kyozo%20Pro%20QA%20Bug%20Tracker/image%2016.png",High,New,"1. Go to Integrations > Import
2. Select Excel as source
3. Upload an .xlsx file where the first row contains data (not column headers)
4. Complete the import"
KYPRO-29,Import completes without error. No warning or validation is shown about missing required fields. Contacts are created with empty required fields.,Ashok,CSV import silently accepts file with missing required columns (name/email),Functional,,http://pro.kyozo.com — Chrome,"Importer should detect missing required columns (name, email) and display a clear validation error before allowing the user to proceed. Import should be blocked until the mapping is corrected.",,Tested with a CSV containing only a 'phone' column — import completed with 0 usable records.,Integrations > Import > CSV,High,"April 1, 2026 1:46 PM",Anastasia Starko,Always,"Kyozo%20Pro%20QA%20Bug%20Tracker/image%2021.png, Kyozo%20Pro%20QA%20Bug%20Tracker/bug29_missing_columns.csv, Kyozo%20Pro%20QA%20Bug%20Tracker/image%2022.png",High,New,"1. Go to Integrations > Import
2. Select CSV as source
3. Upload a CSV file that is missing required columns (e.g. no 'email' or 'name' column)
4. Proceed through the import wizard to completion"
KYPRO-35,Pressing Enter while the Tags field is focused triggers unexpected form navigation — the wizard jumps to 'Import Complete' with 0 members imported. The Add Member action is never executed.,Ashok,Tags field in Manual Entry triggers unexpected form navigation / premature import on Enter key,Functional,,http://pro.kyozo.com — Chrome,The Enter key in the Tags field should either confirm the tag input (adding the tag chip) or do nothing. It should never trigger form submission or navigate away from the Manual Entry step.,,Reproducible 100% of the time when Enter is pressed in the Tags field. Workaround: use mouse to click Add Member button instead of keyboard.,Integrations > Import > Manual Entry,Medium,"April 1, 2026 1:46 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/image%2012.png,Medium,New,"1. Go to Integrations > Import > Manual Entry
2. Fill in Name and Email fields
3. Click into the Tags field
4. Type comma-separated tag values (e.g. 'vip, tester, qa') and press Enter or Tab
5. Observe the form behavior"
KYPRO-36,"Drag & drop is non-functional in all file upload drop zones across the app. The drop zone shows no hover highlight when a file is dragged over it, no visual response on drop, no filename confirmation, no loading indicator, and no error message. Users who attempted to upload files during QA testing had to use the 'Click to browse' file picker instead in all cases. This affects both the Integrations > Import wizard (CSV and Excel flows) and the Audience > Automatically Integrate modal.",Ashok,Drag & drop file upload non-functional across all import upload zones (Integrations & Audience),Functional,,http://pro.kyozo.com — Chrome,"Dragging a file over any upload drop zone should trigger a visible hover/active state. Dropping a valid file should register it, show a filename confirmation, and advance the flow. Both 'Click to browse' and 'drag & drop' are explicitly advertised on every drop zone and both must work.",,"Confirmed systemic — affects all upload drop zones in the app, not isolated to one flow. During QA session April 2026, all file uploads were performed via 'Click to browse' as a workaround because drag & drop consistently failed. Drag & drop in Audience modal reproduced twice consecutively with zero response. Likely a shared drag-event handler registration issue at the component or framework level.",Integrations > Import (CSV & Excel) + Audience > Automatically Integrate > Upload CSV/TSV File,High,"April 1, 2026 2:56 PM",Anastasia Starko,Always,Kyozo%20Pro%20QA%20Bug%20Tracker/Screen_Recording_2026-04-01_at_2.53.41_PM_2.mov,High,New,"1. Go to Integrations > Import and select CSV File or Excel/XLS as source
2. Drag a valid file from your computer and drop it onto the dashed upload zone
3. Observe — file is not registered
4. Repeat via Audience > Automatically Integrate > CSV source
5. Drag a valid .csv file onto the drop zone
6. Observe — file is not registered"
KYPRO-38,"Both rows appear in the queue with identical name and email. No duplicate warning, highlight, or Notes annotation is shown. The import counter increments for both.

[NEW - confirmed 2026-04-08] The same missing deduplication applies cross-audience: importing a contact whose email already exists in the Audience (e.g. mailto:alice@example.com, a previously imported member) is accepted without any warning or conflict indicator. The duplicate is silently imported and a second member record with the same email appears in the Audience list.",Ashok,Duplicate contacts not detected in Import Members > Manual Entry,Functional,,Web – http://pro.kyozo.com (QA Test Community),"The app should detect the duplicate by email and either block the second entry with an inline error (""This email is already in the list""), or flag the row in the Notes column as a duplicate — consistent with the expected behaviour for CSV imports.",,"Same root cause as KYPRO-31 (CSV duplicate rows not flagged). Both bugs stem from missing deduplication logic in the import pipeline. Consider a unified fix across all import surfaces.

[2026-04-08] Cross-audience deduplication is also absent. The importer does not check whether an email being imported already exists among current Audience members. This creates silent duplicate records across import sessions and is a higher-impact variant of the intra-batch duplicate issue.",Audience > Import Members > Manual Entry,Medium,"April 2, 2026 4:58 PM",Anastasia Starko,Always,,Medium,New,"Scenario A – Intra-batch duplicate (original):
1. Navigate to Audience > Import Members > Manual Entry
2. Enter a contact – e.g. Name: ""Alice Tester"", Email: mailto:alice@test.com – and click + Add
3. Enter the exact same name and email again
4. Click + Add again
5. Observe: both rows appear with no duplicate warning

Scenario B – Cross-audience duplicate (confirmed 2026-04-08):
1. Ensure a member with email mailto:alice@example.com already exists in the Audience
2. Navigate to Audience > Import Members > Manual Entry
3. Enter Name: ""Alice Johnson"", Email: mailto:alice@example.com
4. Click + Add, then click 'Import 1 Members'
5. Observe: import succeeds silently; a second member with the same email appears in Audience"
